"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","SENESE_HDAC1_TARGETS_DN",9.31994976154451e-19,1.26502784763364e-15,1.11466447751729,0.574783066816496,2.97943906921891,122,"IGFBP5; LDLRAD4; GSN; FADS1; SOX2; NREP; PRKCA; SESN3; ZNF503; JAKMIP2; GXYLT2; CRISPLD1; LOXL4; MIAT; COL3A1; KLRK1-AS1; YPEL2; ALDH6A1; CCNG2; NARF; LRRN1; EDIL3; RUNX2; FDFT1; TCEAL2; TCF4; RNFT1; FXYD6; COL11A1; STMN3; MAGED1; TTYH1; CYS1; PCDHB5; TMEM135; HMGCR; PBX1; PRAG1; DNAJC1; BNIP3L; ARID5B; LINC02615; IRS1; HAPLN1; GPC4; SEPTIN6; MEIS1; LSS; ORAI2; NFIA; L1CAM; ZNF608; TUBA1A; CDC25C; MAF; NUDT6; TIA1; HCFC1R1; CPE; LYPD1; FOLR1; MRC2; HR; BAZ2B; CBX5; TRIM6; COL1A1; DHRS2; CDC42EP3; ZNF395; EFEMP2; MYLK"
"2","TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_HSC_UP",9.59986159312555e-12,3.39918577453976e-09,0.875325132024659,0.622513365528325,2.83550949151012,60,"TRIB2; GSN; HBP1; ENC1; KLHL24; QPRT; SLC2A3; RUNX1; SORT1; NEDD9; NTRK3; COL3A1; CCNG2; JUP; SOX4; PRSS23; PNRC1; PLAT; KIF3C; BNIP3L; ARID5B; GBP2; PDE4B; TM4SF1; TUBA1A; HOXA5; TXNIP; MAGED2; TRIM5; TCF7L2; CDC42EP3; ZBTB20; DDR1; SPARC; FZD7; DDAH2; ANXA2; ADD3; SMARCA1; HSPB1"
"3","WP_CHOLESTEROL_METABOLISM_WITH_BLOCH_AND_KANDUTSCHRUSSELL_PATHWAYS",3.58206443909984e-10,8.58009788000856e-08,0.814035837847908,0.772667107875579,2.80364394451857,24,"FADS1; SCD; IDI1; FDFT1; FADS2; HMGCS2; HMGCR; MVK; LSS; MSMO1; DHCR7; ACSL3; NSDHL; SREBF2; HMGCS1; MVD; ACAT2; FDPS; DHCR24; ABCG1; CYP51A1; EBP; SQLE; HSD17B7"
"4","KOBAYASHI_EGFR_SIGNALING_24HR_UP",1.68332025515982e-07,2.17602542190819e-05,0.690132458796796,0.654125502426396,2.58839806419179,32,"GSN; H3C10; KLHL24; H2BC21; PIK3R3; CDK19; ALDH6A1; CCNG2; EDIL3; SOX4; H2BC5; PBXIP1; PIK3IP1; PBX1; ID2; BCL6; H2AC6; HCFC1R1; CPE; METTL7A; H2AC18; MAN1A1"
"5","WILCOX_RESPONSE_TO_PROGESTERONE_UP",3.87554849217699e-10,8.76735192230261e-08,0.814035837847908,0.561758800793985,2.57822376116106,67,"FADS1; HBP1; KLHL24; SCD; IDI1; LPIN1; SGK1; FDFT1; ARHGEF3; CDKN2C; INSIG1; FADS2; HMGCR; LDLR; ETV1; MVK; LSS; PTHLH; HMGN3; MSMO1; DHCR7; METTL7A; TK1; NSDHL; HMGCS1; ACAT2; NUSAP1; FDPS; PCLAF; TMEM97; ABCG1; CYP51A1; EBP; TOP2A; KIF20A"
"6","REACTOME_CHOLESTEROL_BIOSYNTHESIS",5.11640994512359e-07,5.20850532413581e-05,0.659444398037935,0.770881479035985,2.55030755812692,17,"IDI1; FDFT1; HMGCR; MVK; LSS; MSMO1; DHCR7; NSDHL; HMGCS1; MVD; ACAT2; FDPS; DHCR24; CYP51A1; EBP; SQLE; HSD17B7"
"7","SCHMIDT_POR_TARGETS_IN_LIMB_BUD_UP",1.83496222015115e-07,2.29906651090938e-05,0.690132458796796,0.760987077956636,2.54692672102125,18,"IDI1; STARD4; FDFT1; INSIG1; LDLR; MVK; LSS; MSMO1; DHCR7; NSDHL; SREBF2; HMGCS1; MVD; ACAT2; FDPS; CYP51A1; SQLE"
"8","RUIZ_TNC_TARGETS_UP",1.4197276023918e-08,2.5135351291041e-06,0.747739663149885,0.583596002481826,2.54096049717446,52,"TRIB2; GSN; HBP1; FOXF2; KLHL24; SLC2A3; COL3A1; SOX4; KLF9; SEMA3C; COL5A2; PNRC1; MAGED1; ID2; BNIP3L; ARID5B; GBP2; C14orf132; TM4SF1; MEIS1; IGFBP7; PDE5A; NBR1; BCL6; SLC35E2B; KDM5B; PCMTD2; METTL7A; MAN1A1; ZCCHC24; BAZ2B; EXTL2"
"9","PLASARI_TGFB1_TARGETS_10HR_DN",4.92756856533953e-10,1.08459779448987e-07,0.801215574617779,0.540892160933135,2.5365381024652,74,"SEMA3A; IGFBP5; KLHL24; LPL; LGR4; SESN3; PIK3R3; LAMA4; PMP22; DBP; TSHZ1; ABLIM1; CALHM5; PBX1; BNIP3L; ARID5B; GBP2; TRPS1; SBK1; IRS1; SERPINB1; PARP9; PDE5A; NFIA; ZNF608; PLPP3; PDP1; METTL7A; SYT11; TK1; MAN1A1; PCDH7; SH3BGRL; STMN1; MAP2; PER3; SLC14A1; NUSAP1; ARL6IP1; TCF7L2; NR1D2"
"10","REACTOME_ACTIVATION_OF_GENE_EXPRESSION_BY_SREBF_SREBP",3.05888523579194e-06,0.000239534243848938,0.627256739718528,0.740533836347812,2.44990843760872,17,"SCD; IDI1; FDFT1; HMGCR; MVK; LSS; DHCR7; NFYC; SREBF2; HMGCS1; NCOA2; MVD; FDPS; CYP51A1; SQLE"
