"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","GOCC_INNER_MITOCHONDRIAL_MEMBRANE_PROTEIN_COMPLEX",1.4122297394825e-15,2.87529974958637e-12,1.01754479730988,0.701731046432311,2.90022879556175,59,"ATP5MK; NDUFC2; NDUFA6; NDUFS6; UQCR10; MICOS13; TIMM10; COX7C; NDUFA13; NDUFS5; NDUFB2; NDUFV1; NDUFAB1; NDUFA1; ATP5MG; ATP5MJ; NDUFB8; COX7A2; IMMP1L; UQCRH; NDUFS3; UQCRB; COX6C; NDUFA3; DNAJC19; ATP5F1E; COX5B; ATP5MC1; NDUFA12; ROMO1; SLC25A6; UQCRFS1; NDUFA2; NDUFB4; MT-ND4L; UQCRQ"
"2","WP_ELECTRON_TRANSPORT_CHAIN_OXPHOS_SYSTEM_IN_MITOCHONDRIA",7.45899591976369e-14,6.74956253006172e-11,0.954541630725724,0.710572976702986,2.83396432690344,50,"NDUFC2; NDUFA6; NDUFS6; UQCR10; COX17; COX7C; NDUFS5; NDUFB2; NDUFV1; NDUFAB1; NDUFA1; ATP5MG; NDUFB8; COX7A2; UQCRH; NDUFS3; UQCRB; COX6C; NDUFA3; ATP5F1E; ATP5IF1; COX5B; ATP5MC1; NDUFA12; SLC25A6; UQCRFS1; NDUFA2; NDUFB4; MT-ND4L; UQCRQ"
"3","GOCC_MITOCHONDRIAL_PROTEIN_CONTAINING_COMPLEX",3.57201909836499e-15,4.84842058951407e-12,0.996986217533181,0.629214130401565,2.75866478161722,85,"ATP5MK; NDUFC2; MRPS21; NDUFA6; NDUFS6; UQCR10; MICOS13; TIMM10; COX7C; MRPL53; NDUFA13; NDUFS5; TOMM7; NDUFB2; NDUFV1; NDUFAB1; NDUFA1; ATP5MG; ATP5MJ; NDUFB8; COX7A2; IMMP1L; UQCRH; NDUFS3; UQCRB; COX6C; MRPS18C; MRPL41; NDUFA3; DNAJC19; ATP5F1E; COX5B; BAX; ATP5MC1; HADHB; TOMM5; NDUFA12; ROMO1; SLC25A6; UQCRFS1; NDUFA2; MRPL14; MRPL52; NDUFB4; MT-ND4L; UQCRQ"
"4","MOOTHA_VOXPHOS",5.87978522055106e-12,3.43793773976668e-09,0.887074988399873,0.75073535792124,2.75330332714329,35,"NDUFC2; NDUFA6; NDUFS6; UQCR10; COX7C; NDUFA13; NDUFS5; NDUFB2; NDUFAB1; NDUFA1; ATP5MG; NDUFB8; COX7A2; UQCRH; NDUFS3; TBCB; UQCRB; COX6C; NDUFA3; ATP5F1E; COX5B; ATP5MC1; UQCRFS1; NDUFA2; NDUFB4; UQCRQ"
"5","GOCC_RESPIRASOME",2.82191032484735e-11,1.35186104032687e-08,0.863415391606693,0.689432841492732,2.67410484049191,44,"NDUFC2; NDUFA6; NDUFS6; UQCR10; COX7C; NDUFA13; NDUFS5; NDUFB2; NDUFV1; NDUFAB1; NDUFA1; NDUFB8; COX7A2; UQCRH; NDUFS3; UQCRB; COX6C; NDUFA3; COX5B; NDUFA12; UQCRFS1; NDUFA2; NDUFB4; MT-ND4L; UQCRQ"
"6","KEGG_OXIDATIVE_PHOSPHORYLATION",1.80731806186035e-11,9.81253219719378e-09,0.863415391606693,0.669374698149711,2.6696540370701,50,"NDUFC2; NDUFA6; NDUFS6; UQCR10; COX17; COX7C; NDUFS5; NDUFB2; NDUFV1; NDUFAB1; NDUFA1; ATP5MG; NDUFB8; COX7A2; UQCRH; NDUFS3; UQCRB; COX6C; NDUFA3; ATP5F1E; COX5B; ATP5MC1; UQCRFS1; NDUFA2; NDUFB4; MT-ND4L; UQCRQ; ATP6AP1"
"7","PECE_MAMMARY_STEM_CELL_UP",2.71456900065294e-12,2.00976817648341e-09,0.898671232061694,0.626398077015068,2.64224038163889,68,"SNHG6; NDUFA6; RPS25; RPSA; NDUFS5; RPS20; NDUFB2; RPL36AL; HINT1; EIF3K; ATP5MG; RPL35A; COX7A2; RPL8; RPS19; TUBB4B; UQCRB; NDUFAF8; COX6C; RPS19BP1; GAS5; RPS14; RPS3; ATP5F1E; EEF1D; NOP53; RPS29; ACTG1; RPS18; TMA7; RPL27A; RPL10A; RPS16; RPS12; RPS10; RPL13; FAU; PPIA; DDR1; RPL22; RBIS; DDT"
"8","HALLMARK_OXIDATIVE_PHOSPHORYLATION",5.91001084930422e-12,3.43793773976668e-09,0.887074988399873,0.635562161817317,2.6417134423095,62,"NDUFC2; POLR2F; NDUFA6; NDUFS6; UQCR10; TIMM10; COX17; COX7C; NDUFB2; NDUFV1; NDUFAB1; NDUFA1; ATP5MG; DLST; NDUFB8; COX7A2; UQCRH; NDUFS3; UQCRB; COX6C; NDUFA3; ATP5F1E; COX5B; PRDX3; BAX; ATP5MC1; HADHB; SLC25A6; UQCRFS1; NDUFA2; NDUFB4; UQCRQ; ATP6AP1; MRPS30; SDHC"
"9","KEGG_PARKINSONS_DISEASE",1.33726849799488e-10,4.53779776986262e-08,0.826657301178302,0.654428795997246,2.61892387265462,51,"NDUFC2; NDUFA6; NDUFS6; UQCR10; COX7C; NDUFS5; NDUFB2; NDUFV1; NDUFAB1; NDUFA1; NDUFB8; COX7A2; UQCRH; NDUFS3; UQCRB; COX6C; NDUFA3; ATP5F1E; COX5B; ATP5MC1; SLC25A6; UQCRFS1; NDUFA2; NDUFB4; MT-ND4L; UQCRQ"
"10","REACTOME_RESPIRATORY_ELECTRON_TRANSPORT_ATP_SYNTHESIS_BY_CHEMIOSMOTIC_COUPLING_AND_HEAT_PRODUCTION_BY_UNCOUPLING_PROTEINS",1.52098546680874e-10,4.78777688398936e-08,0.826657301178302,0.641856267866429,2.5829310259602,52,"NDUFC2; NDUFA6; NDUFS6; UQCR10; COX7C; NDUFA13; NDUFS5; NDUFB2; NDUFV1; NDUFAB1; NDUFA1; ATP5MG; NDUFB8; UQCRH; NDUFS3; UQCRB; COX6C; NDUFA3; ATP5F1E; COX5B; ATP5MC1; NDUFA12; UQCRFS1; NDUFA2; NDUFB4; UQCRQ; COX20"
